Round18, ROCAUC0.71875, LOGLOSS0.772308357008, F1 MACRO0.692307692308, F1 POS0.615384615385, ACCURACY0.711538461538, PRECISION0.631578947368, RECALL0.6
Round19, ROCAUC0.767142857143, LOGLOSS0.625158008857, F1 MACRO0.80174291939, F1 POS0.740740740741, ACCURACY0.820512820513, PRECISION0.769230769231, RECALL0.714285714286
Round20, ROCAUC0.63468013468, LOGLOSS0.662948294013, F1 MACRO0.59045819556, F1 POS0.413793103448, ACCURACY0.666666666667, PRECISION0.545454545455, RECALL0.333333333333
Round21, ROCAUC0.561167227834, LOGLOSS0.960047167819, F1 MACRO0.488636363636, F1 POS0.25, ACCURACY0.6, PRECISION0.8, RECALL0.148148148148
Round22, ROCAUC0.584987593052, LOGLOSS0.694549431926, F1 MACRO0.532196969697, F1 POS0.458333333333, ACCURACY0.543859649123, PRECISION0.5, RECALL0.423076923077
Round23, ROCAUC0.659377628259, LOGLOSS0.787459884371, F1 MACRO0.417206290472, F1 POS0.217391304348, ACCURACY0.485714285714, PRECISION1.0, RECALL0.121951219512
Round24, ROCAUC0.713296398892, LOGLOSS0.636946293084, F1 MACRO0.630555555556, F1 POS0.611111111111, ACCURACY0.631578947368, PRECISION0.647058823529, RECALL0.578947368421
Round25, ROCAUC0.605555555556, LOGLOSS0.933910674379, F1 MACRO0.42962962963, F1 POS0.259259259259, ACCURACY0.480519480519, PRECISION0.777777777778, RECALL0.155555555556
Round26, ROCAUC0.666666666667, LOGLOSS1.07937257211, F1 MACRO0.463768115942, F1 POS0.260869565217, ACCURACY0.540540540541, PRECISION0.75, RECALL0.157894736842
Round27, ROCAUC0.548305084746, LOGLOSS0.700863421718, F1 MACRO0.511915269197, F1 POS0.363636363636, ACCURACY0.556962025316, PRECISION0.285714285714, RECALL0.5
Round28, ROCAUC0.603693181818, LOGLOSS0.728932365429, F1 MACRO0.575657894737, F1 POS0.526315789474, ACCURACY0.581395348837, PRECISION0.37037037037, RECALL0.909090909091
Round29, ROCAUC0.573913043478, LOGLOSS1.61114887135, F1 MACRO0.30155210643, F1 POS0.0909090909091, ACCURACY0.365079365079, PRECISION0.5, RECALL0.05
Round30, ROCAUC0.569444444444, LOGLOSS0.723253218241, F1 MACRO0.402777777778, F1 POS0.25, ACCURACY0.441860465116, PRECISION0.16, RECALL0.571428571429
Round31, ROCAUC0.659971811135, LOGLOSS0.64613411752, F1 MACRO0.598308668076, F1 POS0.545454545455, ACCURACY0.605263157895, PRECISION0.545454545455, RECALL0.545454545455
Round32, ROCAUC0.729591836735, LOGLOSS0.532727558698, F1 MACRO0.5625, F1 POS0.25, ACCURACY0.785714285714, PRECISION1.0, RECALL0.142857142857
Round33, ROCAUC0.5, LOGLOSS0.526292553073, F1 MACRO0.451923076923, F1 POS0.0, ACCURACY0.824561403509, PRECISION0.0, RECALL0.0
Round34, ROCAUC0.699519230769, LOGLOSS0.60755952582, F1 MACRO0.619376026273, F1 POS0.457142857143, ACCURACY0.688524590164, PRECISION0.363636363636, RECALL0.615384615385
Round35, ROCAUC0.71978021978, LOGLOSS0.611170581657, F1 MACRO0.632638389648, F1 POS0.461538461538, ACCURACY0.712328767123, PRECISION0.5, RECALL0.428571428571
Round36, ROCAUC0.484444444444, LOGLOSS0.908383598981, F1 MACRO0.364661654135, F1 POS0.0714285714286, ACCURACY0.5, PRECISION0.333333333333, RECALL0.04
Round37, ROCAUC0.637333333333, LOGLOSS0.536770827495, F1 MACRO0.484126984127, F1 POS0.111111111111, ACCURACY0.753846153846, PRECISION0.333333333333, RECALL0.0666666666667
Round38, ROCAUC0.543461829176, LOGLOSS1.07878769721, F1 MACRO0.454022988506, F1 POS0.166666666667, ACCURACY0.605263157895, PRECISION0.333333333333, RECALL0.111111111111
Round39, ROCAUC0.702380952381, LOGLOSS1.09497497206, F1 MACRO0.400682011935, F1 POS0.173913043478, ACCURACY0.486486486486, PRECISION1.0, RECALL0.0952380952381
Round40, ROCAUC0.548469387755, LOGLOSS0.645527373999, F1 MACRO0.484126984127, F1 POS0.111111111111, ACCURACY0.753846153846, PRECISION0.5, RECALL0.0625
Round41, ROCAUC0.813793103448, LOGLOSS0.414905598336, F1 MACRO0.70632183908, F1 POS0.533333333333, ACCURACY0.808219178082, PRECISION0.533333333333, RECALL0.533333333333
Round42, ROCAUC0.575048732943, LOGLOSS0.754523391907, F1 MACRO0.52944015444, F1 POS0.464285714286, ACCURACY0.538461538462, PRECISION0.448275862069, RECALL0.481481481481
Round43, ROCAUC0.547916666667, LOGLOSS1.00101469872, F1 MACRO0.484375, F1 POS0.25, ACCURACY0.590909090909, PRECISION0.75, RECALL0.15
Round44, ROCAUC0.789682539683, LOGLOSS0.504323863238, F1 MACRO0.5625, F1 POS0.3, ACCURACY0.72, PRECISION0.5, RECALL0.214285714286
Round45, ROCAUC0.6875, LOGLOSS0.528773188798, F1 MACRO0.62962962963, F1 POS0.444444444444, ACCURACY0.722222222222, PRECISION0.4, RECALL0.5
Round46, ROCAUC0.731481481481, LOGLOSS0.65295259496, F1 MACRO0.723529411765, F1 POS0.647058823529, ACCURACY0.744680851064, PRECISION0.785714285714, RECALL0.55
TOTAL All round, ROCAUC0.660060705532, LOGLOSS0.752489979852, F1 MACRO0.536465797955, F1 POS0.33626332901, ACCURACY0.640137158159, PRECISION0.51667682289, RECALL0.351510212822
