Round37, ROCAUC0.522666666667, LOGLOSS0.859442997118, F1 SCORE0.419642857143,
Round38, ROCAUC0.533635676493, LOGLOSS0.730752207143, F1 SCORE0.400050929463,
Round39, ROCAUC0.629464285714, LOGLOSS0.68917573626, F1 SCORE0.562647754137,
Round40, ROCAUC0.552933673469, LOGLOSS0.632756413863, F1 SCORE0.509169363538,
Round41, ROCAUC0.755172413793, LOGLOSS0.478701953314, F1 SCORE0.719230769231,
Round42, ROCAUC0.705165692008, LOGLOSS0.607989395467, F1 SCORE0.590298711976,
Round43, ROCAUC0.629166666667, LOGLOSS0.967904894824, F1 SCORE0.440802675585,
Round44, ROCAUC0.639880952381, LOGLOSS0.599648326933, F1 SCORE0.561403508772,
Round45, ROCAUC0.691964285714, LOGLOSS0.53014391847, F1 SCORE0.645320197044,
Round46, ROCAUC0.761111111111, LOGLOSS0.641647879114, F1 SCORE0.356164383562,
TOTAL All round, ROCAUC[0.69592476 0.55291005 0.625      0.74845679 0.54693878 0.48710317
 0.76728723 0.65243902 0.75428571 0.63034483 0.74814815 0.64705882
 0.62824675 0.76111111 0.7147541  0.55844156 0.74224022 0.75928793
 0.703125   0.78285714 0.72053872 0.68574635 0.63275434 0.5979815
 0.79501385 0.59236111 0.62134503 0.54872881 0.60369318 0.53152174
 0.48809524 0.66349542 0.70068027 0.74691358 0.66346154 0.77106227
 0.59407407 0.52266667 0.53363568 0.62946429 0.55293367 0.75517241
 0.70516569 0.62916667 0.63988095 0.69196429 0.76111111], LOGLOSS[0.55397199 0.60465265 0.78002591 0.90537559 0.62619244 1.38666367
 0.50994778 0.60650804 0.52772985 0.87729321 0.55674009 0.69703127
 0.77720318 0.50051894 0.50598983 0.83281139 0.53264934 0.59762857
 0.75709708 0.56924797 0.59278401 0.65680685 0.66278098 0.83944728
 0.67162468 1.47915544 0.70267331 0.73706913 0.72893237 1.15499423
 0.69988321 0.64340859 0.51841221 0.22596545 0.58412462 0.53634448
 1.67394908 0.859443   0.73075221 0.68917574 0.63275641 0.47870195
 0.6079894  0.96790489 0.59964833 0.53014392 0.64164788], F1 SCORE[0.42028986 0.50243902 0.61426067 0.55467775 0.56596737 0.23941799
 0.63430851 0.58035714 0.4924812  0.51151316 0.71111111 0.41384863
 0.33333333 0.58333333 0.64094488 0.34766528 0.58682821 0.68665541
 0.62270593 0.5764411  0.68682097 0.49579832 0.56265985 0.47111111
 0.52604549 0.36969351 0.55151515 0.47473404 0.57565789 0.29497848
 0.52747253 0.60691992 0.60283688 0.48648649 0.4245283  0.60540541
 0.38461538 0.41964286 0.40005093 0.56264775 0.50916936 0.71923077
 0.59029871 0.44080268 0.56140351 0.6453202  0.35616438],
Mean Auc 0.657118927463,  Mean logloss 0.713868051565, Mean F1 0.52065086725,
